nome,cpf,idade,data,endereco,bairro,estado
Sr. Vitor Gabriel Silva,640.***.***-01,90,92.0,"trevo emanuel silva, 482",vila tirol,Desconhecido
Calebe Santos,651.***.***-46,40,41.0,"recanto moraes, 7",ernesto nascimento,Desconhecido
Maria Julia Castro,164.***.***-43,76,78.0,"residencial de pereira, 20",jatobá,Desconhecido
Arthur Da Rosa,085.***.***-30,53,55.0,"parque almeida, 66",vila suzana segunda seção,Desconhecido
Juan Pereira,520.***.***-21,68,69.0,"rodovia de pereira, 51",estrela,Desconhecido
Dra. Ana Laura Ribeiro,210.***.***-20,69,71.0,esplanada lavínia ramos,são francisco,Desconhecido
Maria Clara Araújo,960.***.***-80,41,42.0,"praça cavalcanti, 65",conjunto celso machado,Desconhecido
Vitória Oliveira,302.***.***-83,31,32.0,"esplanada monteiro, 88",conjunto paulo vi,Desconhecido
Benjamin Oliveira,451.***.***-84,49,51.0,"ladeira monteiro, 57",vila primeiro de maio,Desconhecido
Pietro Barros,843.***.***-50,51,53.0,"recanto luiz miguel jesus, 35",vila aeroporto jaraguá,Desconhecido
Samuel Cavalcanti,520.***.***-01,89,90.0,"ladeira de porto, 38",nova america,Desconhecido
Ian Da Costa,384.***.***-78,23,23.0,"via de jesus, 57",vila da amizade,Desconhecido
Dr. Emanuel Costa,736.***.***-19,55,56.0,"lago castro, 94",mariano de abreu,Desconhecido
Larissa Da Cruz,128.***.***-60,83,84.0,"setor isadora da rosa, 583",chácara leonina,Desconhecido
Diogo Carvalho,078.***.***-97,83,84.0,"viaduto pedro lucas cavalcanti, 49",tiradentes,Desconhecido
Sr. Anthony Almeida,305.***.***-60,37,38.0,"rua vitor hugo pinto, 21",anchieta,Desconhecido
Clara Martins,397.***.***-86,77,78.0,"rodovia aragão, 245",conjunto lagoa,Desconhecido
Dr. Luiz Felipe Cardoso,374.***.***-20,69,71.0,"alameda de lima, 65",boa esperança,Desconhecido
Sr. Calebe Lopes,135.***.***-77,62,64.0,"trecho lucas sales, 24",dom bosco,Desconhecido
Miguel Monteiro,097.***.***-41,54,55.0,"passarela igor novaes, 89",pompéia,Desconhecido
Srta. Catarina Da Mata,468.***.***-57,81,83.0,"sítio luna carvalho, 98",novo santa cecilia,Desconhecido
João Gabriel Araújo,625.***.***-25,73,75.0,"esplanada de castro, 4",vila nova cachoeirinha 1ª seção,Desconhecido
Sr. Nicolas Azevedo,036.***.***-33,35,36.0,"estrada de aragão, 1",vila barragem santa lúcia,Desconhecido
Kamilly Caldeira,508.***.***-47,44,46.0,via gabriela nascimento,madre gertrudes,Desconhecido
Renan Araújo,186.***.***-57,79,80.0,"travessa vinicius da mata, 52",alta tensão 1ª seção,Desconhecido
Vicente Nascimento,054.***.***-32,63,63.0,largo vieira,milionario,Desconhecido
Isaac Rocha,873.***.***-69,57,58.0,"área lucas gabriel silveira, 51",anchieta,Desconhecido
Julia Das Neves,819.***.***-05,60,61.0,"jardim isabelly gomes, 23",nossa senhora de fátima,Desconhecido
Breno Rodrigues,196.***.***-34,95,96.0,distrito de silveira,dona clara,Desconhecido
Isabel Nogueira,968.***.***-65,63,64.0,travessa ana júlia da rocha,miramar,Desconhecido
Anthony Araújo,208.***.***-26,38,40.0,"avenida milena pires, 360",vila rica,Desconhecido
Sra. Marina Da Cunha,067.***.***-95,55,57.0,"rodovia marcelo souza, 25",estrela,Desconhecido
Helena Cardoso,853.***.***-39,51,52.0,"pátio alexandre teixeira, 243",indaiá,Desconhecido
Luigi Nunes,593.***.***-24,50,52.0,"via clara da rosa, 928",castelo,Desconhecido
Srta. Raquel Da Costa,278.***.***-09,58,60.0,"estação ribeiro, 46",venda nova,Desconhecido
Sra. Ana Vitória Oliveira,120.***.***-17,60,62.0,"sítio de cavalcanti, 97",juliana,Desconhecido
Luiza Campos,974.***.***-03,52,53.0,"condomínio de rodrigues, 52",conjunto providencia,Desconhecido
Lucca Da Paz,526.***.***-95,71,73.0,"rodovia vieira, 63",conjunto taquaril,Desconhecido
Nathan Da Rosa,907.***.***-25,31,33.0,"recanto de da conceição, 1",paraíso,Desconhecido
Lívia Silveira,804.***.***-85,61,62.0,"setor de azevedo, 375",castanheira,Desconhecido
Isabel Cavalcanti,492.***.***-04,54,56.0,"ladeira pietra cunha, 13",vista alegre,Desconhecido
Rafael Nunes,285.***.***-76,38,39.0,"vereda davi lucca barbosa, 35",estrela do oriente,Desconhecido
Elisa Fogaça,572.***.***-92,95,97.0,"rodovia ana júlia araújo, 68",vila real 2ª seção,Desconhecido
Agatha Ramos,948.***.***-85,23,25.0,"distrito de barros, 41",suzana,Desconhecido
Kamilly Rocha,946.***.***-48,59,61.0,"feira campos, 17",cruzeiro,Desconhecido
Antônio Das Neves,435.***.***-82,40,41.0,"avenida vitor hugo cardoso, 34",vila são rafael,Desconhecido
Luiz Gustavo Alves,198.***.***-10,45,47.0,"rodovia de souza, 63",vila nova dos milionarios,Desconhecido
Emanuella Fernandes,097.***.***-96,87,88.0,"residencial ian da paz, 6",padre eustáquio,Desconhecido
Srta. Ana Beatriz Farias,431.***.***-39,62,64.0,"ladeira de da paz, 98",jardim dos comerciarios,Desconhecido
Yago Monteiro,865.***.***-00,44,45.0,"ladeira pereira, 21",buraco quente,Desconhecido
Yasmin Gonçalves,017.***.***-14,76,77.0,"área barros, 46",salgado filho,Desconhecido
Bruna Nascimento,132.***.***-52,34,36.0,"vereda luiz felipe costa, 70",minaslandia,Desconhecido
Davi Luiz Nogueira,873.***.***-50,97,99.0,"vila sales, 97",paquetá,Desconhecido
Ian Monteiro,324.***.***-91,24,26.0,"favela alana ribeiro, 318",casa branca,Desconhecido
Srta. Helena Silva,905.***.***-01,35,37.0,"parque freitas, 82",ouro minas,Desconhecido
Bárbara Novaes,038.***.***-15,88,89.0,"trecho bryan da cunha, 1",betânia,Desconhecido
Sr. Pedro Lucas Costela,534.***.***-00,30,31.0,esplanada moreira,pindura saia,Desconhecido
Rafael Jesus,673.***.***-80,22,24.0,"campo de barros, 16",silveira,Desconhecido
Sra. Alícia Caldeira,051.***.***-70,89,91.0,"distrito esther campos, 264",apolonia,Desconhecido
Danilo Martins,760.***.***-39,99,99.0,"largo pires, 78",bacurau,Desconhecido
Sr. Gabriel Da Rosa,530.***.***-53,49,51.0,campo isabelly freitas,novo santa cecilia,Desconhecido
Augusto Teixeira,412.***.***-16,69,71.0,favela maria novaes,savassi,Desconhecido
Ana Julia Da Rosa,630.***.***-65,42,44.0,"trevo moraes, 5",cônego pinheiro 1ª seção,Desconhecido
Lucca Barbosa,836.***.***-77,97,99.0,"rua mendes, 337",penha,Desconhecido
Amanda Da Costa,268.***.***-29,23,25.0,"lagoa cardoso, 1",ambrosina,Desconhecido
Dr. Francisco Cardoso,430.***.***-50,96,97.0,"lago maitê campos, 31",braúnas,Desconhecido
Lorena Farias,268.***.***-82,92,94.0,"residencial barbosa, 44",zilah sposito,Desconhecido
Anthony Da Costa,935.***.***-97,36,37.0,"recanto de rocha, 68",conjunto califórnia i,Desconhecido
Cauã Rodrigues,107.***.***-87,98,99.0,"vale gustavo henrique alves, 50",vila madre gertrudes 4ª seção,Desconhecido
Anthony Barbosa,631.***.***-00,86,88.0,vila farias,vila satélite,Desconhecido
Ana Julia Almeida,179.***.***-09,22,24.0,"fazenda de porto, 3",senhor dos passos,Desconhecido
Milena Barros,314.***.***-51,73,75.0,"setor miguel pires, 3",ermelinda,Desconhecido
Murilo Gomes,759.***.***-93,99,100.0,morro de castro,vila pilar,Desconhecido
Daniel Barbosa,812.***.***-98,28,30.0,"praça ferreira, 764",vila sumaré,Desconhecido
Dr. Samuel Cardoso,039.***.***-96,47,48.0,"vereda cauê novaes, 14",conjunto califórnia ii,Desconhecido
Ana Laura Sales,863.***.***-22,78,79.0,"fazenda de pinto, 42",são jorge 1ª seção,Desconhecido
Mariana Cunha,492.***.***-25,81,82.0,"loteamento luiz felipe teixeira, 87",novo ouro preto,Desconhecido
Sr. João Guilherme Cavalcanti,347.***.***-70,38,39.0,"quadra emanuella da conceição, 29",cruzeiro,Desconhecido
Kamilly Rocha,365.***.***-10,63,64.0,"rodovia danilo costa, 17",alta tensão 2ª seção,Desconhecido
Gabriel Nunes,940.***.***-04,55,56.0,vila stephany lima,vista do sol,Desconhecido
Rafael Correia,579.***.***-05,72,73.0,"morro de cardoso, 47",marçola,Desconhecido
Ana Lívia Barbosa,925.***.***-60,62,63.0,lagoa sarah azevedo,monsenhor messias,Desconhecido
Maitê Teixeira,694.***.***-39,90,92.0,"loteamento oliveira, 29",camponesa 1ª seção,Desconhecido
Carlos Eduardo Santos,937.***.***-37,69,69.0,"largo nascimento, 97",delta,Desconhecido
Enzo Gabriel Araújo,349.***.***-96,70,72.0,Endereco invalido,Desconhecido,Desconhecido
Breno Moreira,184.***.***-49,40,40.0,"aeroporto de das neves, 7",vila sumaré,Desconhecido
Julia Lopes,106.***.***-31,47,48.0,"conjunto de cardoso, 5",vila minaslandia,Desconhecido
André Lima,645.***.***-70,79,81.0,viaduto cardoso,belmonte,Desconhecido
João Gabriel Barbosa,190.***.***-67,55,55.0,fazenda de barros,boa esperança,Desconhecido
,438.***.***-56,21,23.0,colônia maria vitória moura,aarão reis,Desconhecido
João Felipe Oliveira,830.***.***-00,42,44.0,avenida de cardoso,madre gertrudes,Desconhecido
Samuel Vieira,218.***.***-53,39,41.0,"lagoa leandro caldeira, 1",chácara leonina,Desconhecido
Lucca Ferreira,237.***.***-19,86,86.0,"esplanada de das neves, 5",andiroba,Desconhecido
Samuel Castro,582.***.***-70,70,71.0,"praia eloah da mata, 95",cachoeirinha,Desconhecido
Maria Vitória Teixeira,426.***.***-25,61,63.0,"praia carvalho, 7",vila nova,Desconhecido
Maria Fernanda Farias,907.***.***-20,22,24.0,"área de correia, 44",chácara leonina,Desconhecido
Fernanda Sales,879.***.***-32,71,72.0,"vale lorenzo almeida, 80",vila mantiqueira,Desconhecido
Srta. Eduarda Nogueira,602.***.***-07,66,67.0,chácara isadora das neves,vila da amizade,Desconhecido
Maitê Ferreira,016.***.***-99,65,66.0,estação cunha,calafate,Desconhecido
Catarina Pires,079.***.***-11,47,47.0,"loteamento de lima, 1",vila primeiro de maio,Desconhecido
Manuela Da Rocha,839.***.***-57,74,75.0,"alameda de gonçalves, 79",saudade,Desconhecido
Nina Moura,604.***.***-25,46,47.0,"quadra bernardo ferreira, 85",marieta 1ª seção,Desconhecido
Pedro Henrique Vieira,526.***.***-03,42,44.0,"rodovia alícia dias, 58",vila boa vista,Desconhecido
Ana Clara Cunha,862.***.***-02,36,38.0,"rua de cavalcanti, 8",vila da paz,Desconhecido
Pietra Santos,508.***.***-67,94,96.0,"esplanada de silva, 1",vila puc,Desconhecido
Sr. Theo Da Conceição,284.***.***-14,25,27.0,"viaduto de freitas, 12",centro,Desconhecido
Vinicius Da Costa,023.***.***-16,65,67.0,"recanto valentina pinto, 52",satelite,Desconhecido
Pedro Henrique Cunha,519.***.***-93,58,60.0,"passarela de santos, 501",vila atila de paiva,Desconhecido
Davi Nogueira,564.***.***-11,74,76.0,"morro lucca da rocha, 40",bandeirantes,Desconhecido
Luiz Fernando Da Paz,409.***.***-11,80,81.0,"praça de da paz, 5",conjunto jardim filadélfia,Desconhecido
Srta. Letícia Rocha,137.***.***-32,76,78.0,"fazenda joão felipe souza, 78",nova pampulha,Desconhecido
João Nogueira,367.***.***-10,91,91.0,"rodovia cauê monteiro, 50",heliopolis,Desconhecido
João Gabriel Cardoso,962.***.***-34,53,55.0,"área de ferreira, 20",vila independencia 2ª seção,Desconhecido
Ryan Ribeiro,409.***.***-48,95,97.0,"núcleo almeida, 41",vila são paulo,Desconhecido
Olivia Das Neves,314.***.***-55,23,23.0,"lagoa de vieira, 25",paquetá,Desconhecido
Sr. Luiz Miguel Pinto,942.***.***-76,55,57.0,"conjunto da luz, 6",chácara leonina,Desconhecido
Elisa Teixeira,217.***.***-73,79,81.0,"ladeira de rodrigues, 58",vila são francisco,Desconhecido
Pedro Miguel Das Neves,523.***.***-03,59,61.0,"jardim de nascimento, 7",engenho nogueira,Desconhecido
Maria Luiza Azevedo,064.***.***-47,76,77.0,"quadra de da cruz, 42",vila jardim montanhes,Desconhecido
Lorenzo Silva,642.***.***-13,47,49.0,"conjunto de da cruz, 1",mariano de abreu,Desconhecido
Bianca Souza,673.***.***-40,97,98.0,"colônia francisco campos, 7",vila betânia,Desconhecido
Vitor Azevedo,643.***.***-20,70,72.0,largo de barbosa,vila nova gameleira 1ª seção,Desconhecido
Enzo Gabriel Lima,187.***.***-94,57,57.0,aeroporto rezende,santo antônio,Desconhecido
Eduarda Cunha,093.***.***-32,59,61.0,"campo de pinto, 72",santana do cafezal,Desconhecido
Sra. Nicole Da Rocha,367.***.***-03,79,81.0,"setor de ferreira, 742",vila antena,Desconhecido
Ana Clara Santos,430.***.***-04,35,37.0,"ladeira de sales, 15",vila são francisco,Desconhecido
Enzo Gabriel Castro,694.***.***-65,96,98.0,ladeira de teixeira,são geraldo,Desconhecido
Nicole Ferreira,701.***.***-22,28,29.0,"aeroporto duarte, 9",funcionários,Desconhecido
Erick Sales,498.***.***-48,37,39.0,"trecho de martins, 51",vila santa monica 1ª seção,Desconhecido
Anthony Barros,742.***.***-07,42,43.0,"vila alexia viana, 87",jardim alvorada,Desconhecido
Renan Da Rocha,986.***.***-10,53,54.0,"morro melo, 463",grajaú,Desconhecido
Marcela Santos,843.***.***-42,24,25.0,"residencial de aragão, 65",planalto,Desconhecido
Carolina Melo,970.***.***-05,39,41.0,"vereda kamilly da rosa, 80",são geraldo,Desconhecido
Lavínia Rezende,946.***.***-70,44,46.0,"morro davi luiz correia, 38",vila são paulo,Desconhecido
Srta. Julia Porto,502.***.***-61,75,76.0,"distrito ana laura aragão, 90",jardim do vale,Desconhecido
Alana Cardoso,572.***.***-41,32,34.0,"favela gonçalves, 32",cônego pinheiro 1ª seção,Desconhecido
Davi Lucas Cardoso,805.***.***-83,28,30.0,"viela da paz, 92",serra,Desconhecido
Raul Santos,315.***.***-03,19,21.0,"loteamento emanuelly sales, 135",leticia,Desconhecido
Igor Melo,261.***.***-17,46,47.0,"favela oliveira, 67",vila copacabana,Desconhecido
Joaquim Da Costa,274.***.***-56,76,78.0,"condomínio campos, 38",dom bosco,Desconhecido
João Felipe Farias,936.***.***-01,28,29.0,"estação milena silva, 549",bairro das indústrias ii,Desconhecido
Manuela Almeida,647.***.***-30,75,75.0,"feira alice ramos, 3",são joão batista,Desconhecido
Ryan Rocha,248.***.***-51,64,65.0,"passarela nogueira, 8",castelo,Desconhecido
Luna Da Conceição,935.***.***-91,96,97.0,"campo campos, 82",são pedro,Desconhecido
Manuela Silva,591.***.***-73,18,20.0,"jardim beatriz farias, 11",acaba mundo,Desconhecido
Maria Vitória Das Neves,761.***.***-34,96,97.0,lagoa cavalcanti,savassi,Desconhecido
Marcela Cunha,904.***.***-32,45,47.0,"rua sales, 4",universo,Desconhecido
Bryan Souza,593.***.***-00,66,67.0,"viaduto thales costela, 23",mala e cuia,Desconhecido
Kevin Cavalcanti,658.***.***-01,48,48.0,"distrito maria moraes, 9",vila paris,Desconhecido
Sr. João Gabriel Martins,794.***.***-85,74,76.0,"esplanada de moura, 95",boa viagem,Desconhecido
Gabriela Da Mata,746.***.***-90,67,69.0,"viaduto de peixoto, 16",inconfidência,Desconhecido
Srta. Júlia Fernandes,650.***.***-98,48,50.0,"condomínio leandro da mota, 20",jatobá,Desconhecido
Bárbara Silveira,386.***.***-04,40,41.0,trevo carvalho,vila paraíso,Desconhecido
Vinicius Jesus,549.***.***-91,89,91.0,morro de duarte,pindorama,Desconhecido
Srta. Alice Pires,536.***.***-56,41,43.0,"praia ana carolina correia, 11",santa sofia,Desconhecido
Lara Ferreira,698.***.***-75,72,73.0,"rodovia de fogaça, 96",lajedo,Desconhecido
Felipe Freitas,863.***.***-01,98,99.0,"rua duarte, 85",vila real 1ª seção,Desconhecido
Maysa Pires,852.***.***-11,68,70.0,"sítio mariana almeida, 86",carlos prates,Desconhecido
Letícia Da Mata,308.***.***-31,47,49.0,"aeroporto da paz, 54",vila são dimas,Desconhecido
Luigi Cunha,623.***.***-34,92,92.0,"praia nascimento, 541",senhor dos passos,Desconhecido
Lucas Gabriel Gomes,120.***.***-40,20,20.0,"distrito de cardoso, 24",flamengo,Desconhecido
Emanuelly Costela,152.***.***-97,46,47.0,"vale de vieira, 67",suzana,Desconhecido
Calebe Nascimento,631.***.***-87,85,85.0,"trecho brenda ferreira, 25",lagoinha,Desconhecido
Juan Pires,139.***.***-46,76,77.0,"avenida de santos, 89",são pedro,Desconhecido
Lívia Costa,582.***.***-50,81,83.0,"loteamento oliveira, 12",vila da ária,Desconhecido
Davi Lucas Nunes,679.***.***-03,21,22.0,"vila viana, 68",nova cintra,Desconhecido
Dr. Lucca Oliveira,806.***.***-75,89,90.0,"passarela jesus, 34",vila jardim montanhes,Desconhecido
Eduardo Monteiro,037.***.***-65,61,63.0,viaduto caldeira,vila nova paraíso,Desconhecido
Diogo Moraes,571.***.***-52,47,48.0,"sítio aragão, 73",aguas claras,Desconhecido
Felipe Freitas,657.***.***-57,18,20.0,área gabriela nascimento,ermelinda,Desconhecido
Ryan Peixoto,830.***.***-98,27,28.0,"estrada agatha correia, 79",xodo-marize,Desconhecido
Otávio Pires,526.***.***-01,25,27.0,"pátio ribeiro, 33",vila oeste,Desconhecido
Thiago Moreira,023.***.***-03,61,62.0,"residencial rebeca da paz, 43",santa inês,Desconhecido
Pietro Lopes,428.***.***-19,61,62.0,"aeroporto moura, 81",salgado filho,Desconhecido
Gabriela Gomes,317.***.***-50,42,44.0,"parque mariane araújo, 1",flamengo,Desconhecido
João Miguel Viana,183.***.***-77,23,24.0,"estrada de carvalho, 309",funcionários,Desconhecido
Sr. Luiz Henrique Nunes,031.***.***-77,76,77.0,"via da cunha, 11",sport club,Desconhecido
Srta. Ana Sophia Viana,937.***.***-68,29,30.0,"rodovia agatha cavalcanti, 27",santo antônio,Desconhecido
Sr. Marcelo Aragão,418.***.***-40,85,87.0,praça raul pires,maria virgínia,Desconhecido
Enzo Gabriel Da Mota,018.***.***-24,30,31.0,vila farias,braúnas,Desconhecido
Benjamin Da Rosa,195.***.***-86,99,100.0,"núcleo maria luiza novaes, 100",xangri-lá,Desconhecido
Ana Rezende,316.***.***-64,68,70.0,"esplanada de da cruz, 73",eymard,Desconhecido
